metric,value
meters of bicycle infrastructure per square km,733.29
nodes in the bicycle network per square km,1.06
dangling nodes in the bicycle network per square km,0.59
meters of protected bicycle infrastructure per square km,434.73
meters of unprotected bicycle infrastructure per square km,298.57
meters of mixed protection bicycle infrastructure per square km,0.0
