metric,value
meters of bicycle infrastructure per square km,1102.58
nodes in the bicycle network per square km,2.15
dangling nodes in the bicycle network per square km,0.9
meters of protected bicycle infrastructure per square km,373.38
meters of unprotected bicycle infrastructure per square km,726.17
meters of mixed protection bicycle infrastructure per square km,3.04
