edge_id,length (m)
181,2.1213649521773434
194,1.9399203123822042
2045,2.1435708097482857
2502,2.6303713291427373
2567,1.2686283877292823
2867,2.013756285385925
2970,2.4999696940183984
3888,1.4760716789504562
4064,1.7043534301619445
