metric,value
meters of bicycle infrastructure per square km,2193.95
nodes in the bicycle network per square km,11.66
dangling nodes in the bicycle network per square km,5.96
meters of protected bicycle infrastructure per square km,1275.12
meters of unprotected bicycle infrastructure per square km,907.48
meters of mixed protection bicycle infrastructure per square km,11.07
