edge_id
2262
1986
3809
2479
1162
3935
1914
1909
4402
1073
2790
2923
1007
478
2503
3096
3493
2079
4069
235
4278
1212
3430
2682
4696
3117
2571
480
3307
967
3233
2106
4153
1927
1905
2449
1758
1610
4229
3559
269
1726
69
565
394
4122
2235
2177
881
1480
1417
3190
3584
438
4663
3128
3543
2981
1759
3129
3041
1168
626
2681
4037
3357
3176
1894
3136
2063
385
2368
1911
2228
1069
1223
224
4351
1841
4254
594
56
1910
876
2033
2112
2227
3511
3670
3925
4331
1296
3502
945
4378
4589
4423
4281
1912
2217
3161
2325
234
324
2303
1010
2591
4308
425
2188
1479
3169
4473
3992
4420
2105
1314
2993
2305
3652
3260
3438
1875
4535
3990
1246
1640
3134
1686
660
1164
1634
3268
1101
814
2182
1938
2405
4674
2210
2052
4185
3585
2702
526
2703
4418
1412
4514
4329
3513
71
197
1327
527
8
227
2253
661
3021
1689
1896
2264
3115
1298
3782
2126
129
90
2254
3375
2684
4481
861
4131
3789
1698
3480
2090
474
4107
574
2676
571
543
4049
2021
1072
3888
1238
1809
2638
719
1939
4184
2263
4187
3878
718
1613
3124
2875
2435
479
2472
4437
3089
3437
3501
172
2910
579
889
2677
301
902
2363
3178
3432
4450
3883
