,OSM,SofiaPlan
Count of matched segments,6704.0,7437.0
Percent matched segments,71.19796091758708,95.70196885857676
Length of matched segments (km),66.85996955549479,74.30222004837188
Percent of matched network length,71.50141751820674,95.70966300243141
Local min of % matched segments,8.0,3.8461538461538463
Local max of % matched segments,100.0,100.0
Local average of % matched segments,91.85441756978622,97.61756667045874
