,OSM,OGD
Count of matched segments,62495.0,74048.0
Percent matched segments,84.64257659073056,50.35908596300327
Length of matched segments (km),620.5072126326774,722.0104182999071
Percent of matched network length,84.99759325574188,50.025002412756756
Local min of % matched segments,3.3333333333333335,0.847457627118644
Local max of % matched segments,100.0,100.0
Local average of % matched segments,89.45429009208226,69.25533992603005
