metric,value
meters of bicycle infrastructure per square km,413.52
nodes in the bicycle network per square km,1.44
dangling nodes in the bicycle network per square km,0.54
meters of protected bicycle infrastructure per square km,205.99
meters of unprotected bicycle infrastructure per square km,202.9
meters of mixed protection bicycle infrastructure per square km,4.63
