edge_id,length (m)
103,0.09524978616361565
184,0.0001511345502829358
185,0.0021308331656355083
192,1.6969586061834336
209,0.038641451320778765
228,0.0013496331663304531
519,4.9891905423360724e-05
523,5.1425517961295284e-05
582,0.0006049464629668239
583,0.0001696962639861185
676,1.5230904674082855
808,0.0026943502105560174
810,0.020170306554149225
1204,0.013924452538444555
1259,0.7901889563071045
1380,0.8024208213130845
1527,0.030529937839486175
1571,0.0001570691135513221
1589,2.118819672451303
1590,2.7837563717478613
1618,0.0011612872377205357
1697,9.404828989496054e-05
1698,0.0005460982590070743
1705,2.935125689868982
1745,9.307060484427833e-05
1784,0.004279044478716548
1785,0.003334280472909052
1788,0.0006411807049032556
1789,0.0003391830312468729
1790,0.0005342605510826803
1798,7.52190920907953e-05
1799,0.05737510020574526
1802,2.7844957717937713
1846,2.728313615678417
1850,0.00045866102326576043
1863,0.003328083596929918
1897,2.4912607057968197
2016,1.0104681086606129
2180,0.18032554578668805
2201,1.9040209416032918
2294,2.67524110467059
2332,1.5637675272319989
2439,0.2631833297708364
2493,0.7718982455885113
2494,0.00024765394862187335
2616,0.017815076022727982
2618,0.0001780263676592423
2661,1.4334745465160967
2697,0.027302955736906626
2844,0.039521231015734536
2850,0.025132261085795284
2890,0.11601135881436392
2891,0.020949705686627258
2929,4.3751474746227866e-05
2930,0.0005968839526391875
3125,0.00020027476855399818
3142,2.483082382324218
3196,0.023577253501378268
3227,0.00021317061969861056
3250,1.47930764059445e-05
3332,0.028205384271511386
3436,2.427652828230698
3458,2.732232627252876
3641,1.8125957418189873
3683,0.0374772748282365
3713,0.008620559203824218
3783,0.048952517866410354
3784,0.0007117901169580684
3877,0.00038393871787103986
3923,1.6287651880747167
3930,2.8830695888884338e-05
4059,0.06455711270412626
4060,0.0007567931935466267
4280,0.00012850145951032312
4290,0.0024027323001449834
4306,0.05433873072854908
4326,0.0014419001804174152
4328,0.1731993945475527
4379,5.287897021252636e-05
4385,0.008620839172333484
4489,0.00043474863188827005
4490,0.0003826216616238513
4523,3.2123522992066424e-06
4624,0.00024802999307611703
4625,1.145079013325846
4629,2.7595106744896583e-06
4672,0.008933552902247883
4769,0.18099918643623367
4772,8.476399096841718e-05
4806,3.1045915747532625e-05
4810,0.0005032832854158985
5146,0.7368280613623422
5182,3.68382661843101e-05
5233,0.010059583529274359
5234,0.8038816900556528
5261,4.831097972552899e-05
5337,2.799358907754486
5344,2.959672364479317
5662,2.514125701561815
5714,0.06443324295239916
5715,4.78843751954441e-05
5827,0.003680377963693118
5879,1.370327601545115e-06
5927,0.0034836294789342996
5929,0.011594900242783132
6064,0.15367231388593203
6066,0.5074152894964881
6099,2.369511134660123
6249,0.030305151897438765
6304,2.408872650713167
6330,5.4343738244033516e-05
6466,2.0872509632821226
6510,3.260559384383483e-05
6581,0.022392081008474993
6641,2.4547183439695375
6825,1.5588925400946
6915,4.608408435155455e-05
6963,2.4429130615856743e-05
6965,0.018416425390289936
6966,0.9056792536716173
7106,3.372682793316675e-05
7272,1.1991745849898985
7314,0.019818287426705085
7334,2.6856742557301043e-05
7385,0.001291117868735281
7386,0.4342310049739768
7447,2.2888391784986446
7740,0.001535357423539774
7836,0.021433558963156032
7903,4.1136008273449224e-06
7904,0.547642515447192
8005,0.0017123323837782334
8007,0.22265540591880612
8138,1.121587315086066
8215,0.01969599554972026
8297,2.941058764799976
8306,2.660647326172975
8340,2.576656612485041
8342,0.00045323963803448996
8353,0.0013348034133457423
8358,2.7616795327621046
8593,2.1273437120466947
8823,7.926386818381651e-05
8883,2.75524005474692e-05
9006,2.6547904524667203
9046,2.892319783734553
9083,2.523865980827682
9146,0.17495764075946577
9375,1.2258403423379083
9407,1.7978306568019447e-05
9444,0.0004285669440721716
9471,1.7603593579314354
9589,1.894988018315284e-05
9629,2.843491218904202
9674,4.0655344198547956e-05
9681,2.6510955251866508e-05
9686,1.7522350373386477
9727,2.899689341318799
9876,2.3274881244985846
10119,0.00014579592708726085
10356,0.03460083914352466
10357,0.011783504804606132
10407,3.13853070231401e-05
10432,1.845487593061969e-05
10524,1.7392665072156515
10538,4.221393865524467e-05
10540,0.6523562894057114
10543,1.668256299811826e-05
10562,2.3278740699920424
10571,0.0001496730498874078
10599,3.739734579372642e-05
10634,2.659416002416029
10737,0.0005919884430258602
10771,1.214244799692678
10772,0.03907667248912338
10777,0.0011557890218300009
10800,0.008228579193730564
10940,0.00012838119654201273
10953,2.3843806695758297e-05
11050,4.484062769099754e-05
11227,1.6380555815431224
11233,2.4234950229936032e-05
11275,1.293876920969192
11314,1.0960675190135434
11318,1.5424699704642288
11460,2.7275041594910956
