metric,value
meters of bicycle infrastructure per square km,5214.18
nodes in the bicycle network per square km,28.02
dangling nodes in the bicycle network per square km,10.1
meters of protected bicycle infrastructure per square km,3743.14
meters of unprotected bicycle infrastructure per square km,1471.04
meters of mixed protection bicycle infrastructure per square km,0.0
