metric,value
meters of bicycle infrastructure per square km,605.9
nodes in the bicycle network per square km,0.49
dangling nodes in the bicycle network per square km,0.45
meters of protected bicycle infrastructure per square km,414.81
meters of unprotected bicycle infrastructure per square km,191.1
meters of mixed protection bicycle infrastructure per square km,0.0
