,OSM,EMR
Count of matched segments,9565.0,9859.0
Percent matched segments,56.41071007313045,84.96940446436267
Length of matched segments (km),95.5185729563016,98.27845467300016
Percent of matched network length,56.52587448560262,84.93141966581796
Local min of % matched segments,6.666666666666667,3.3333333333333335
Local max of % matched segments,100.0,100.0
Local average of % matched segments,90.35490002221157,95.84007852919044
